sample_number,data_mode,split_version,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
151676,all_gene,0,1.004620433,1.002023816,0.881236851,0.879883707,0.151198864,0.150700629,1.002307534,1.001011372
151676,all_gene,1,1.006132483,1.010001898,0.880765736,0.882000208,0.150552034,0.151507437,1.003061533,1.004988551
151676,all_gene,2,1.004409552,1.007157803,0.878081024,0.878999472,0.15483582,0.155601382,1.002202392,1.003572464
151676,all_gene,3,1.014723539,1.01565659,0.887035608,0.88727504,0.153744459,0.153814197,1.007334828,1.007797837
151676,all_gene,4,1.017341495,1.019003153,0.887835205,0.888959587,0.154737294,0.155132771,1.008633494,1.009456873
151676,all_gene,5,1.015033007,1.015122771,0.885149062,0.885222614,0.153410912,0.153707445,1.007488489,1.007532954
151676,all_gene,6,1.025573134,1.023964405,0.891861856,0.891178012,0.155378699,0.154899299,1.012705803,1.011911273
151676,all_gene,7,0.996524811,0.997772098,0.873528183,0.874318004,0.147602975,0.147505879,0.998260915,0.998885453
151676,all_gene,8,1.002759337,0.998096883,0.879984617,0.87767911,0.15670377,0.156247973,1.001378775,0.999047995
151676,all_gene,9,1.011488914,1.012459993,0.884946704,0.885507822,0.152190447,0.152117074,1.005728006,1.006210685
