sample_number,data_mode,split_version,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
151510,all_gene,0,0.120361552,0.120151378,0.262668967,0.262501657,0.013288915,0.013256073,0.346931636,0.346628577
151510,all_gene,1,0.120208554,0.119358748,0.258720428,0.257618278,0.013235569,0.013140917,0.34671104,0.345483363
151510,all_gene,2,0.119665787,0.119862236,0.258201897,0.258351654,0.013180196,0.013214469,0.345927417,0.346211255
151510,all_gene,3,0.119088866,0.11922545,0.26319623,0.263551593,0.013131142,0.013136208,0.345092535,0.345290393
151510,all_gene,4,0.119945996,0.12037833,0.258367985,0.258703262,0.013225675,0.013274431,0.346332192,0.346955806
151510,all_gene,5,0.118290529,0.118048117,0.257187426,0.256691694,0.013043702,0.013024032,0.34393391,0.343581319
151510,all_gene,6,0.118133597,0.11832568,0.260368049,0.260317832,0.013044715,0.01305896,0.343705684,0.343984991
151510,all_gene,7,0.118486688,0.117734604,0.258574784,0.257767498,0.013089418,0.012983561,0.34421894,0.343124777
151510,all_gene,8,0.119731255,0.119350523,0.259537846,0.259099185,0.013190329,0.013179421,0.34602204,0.345471442
151510,all_gene,9,0.11846108,0.11872112,0.255626768,0.255495608,0.013073325,0.013078511,0.344181746,0.344559312
