sample_number,data_mode,split_version,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
151673,all_gene,0,0.102159612,0.102092147,0.239363059,0.239355251,0.019352674,0.019320846,0.319624186,0.319518626
151673,all_gene,1,0.101565458,0.101251572,0.239155158,0.239000946,0.01917088,0.019166589,0.31869337,0.318200529
151673,all_gene,2,0.100079641,0.099828869,0.235258415,0.235045075,0.018953562,0.018880367,0.316353679,0.315957069
151673,all_gene,3,0.101779141,0.101633988,0.241074234,0.240982324,0.019319236,0.01928097,0.319028437,0.318800867
151673,all_gene,4,0.099915519,0.100867167,0.24019362,0.24118346,0.019002736,0.019091785,0.31609416,0.317595929
151673,all_gene,5,0.101912647,0.101323597,0.242942557,0.242175847,0.019357443,0.019231558,0.31923759,0.318313688
151673,all_gene,6,0.104038008,0.104593582,0.245901048,0.246529073,0.019680738,0.019770682,0.322549224,0.323409319
151673,all_gene,7,0.100280568,0.100640386,0.23953709,0.239951447,0.019049287,0.019079685,0.316671073,0.317238688
151673,all_gene,8,0.102269046,0.102069907,0.242339239,0.242103711,0.019404292,0.019390464,0.31979531,0.319483817
151673,all_gene,9,0.102639072,0.102406345,0.241062149,0.241034567,0.019455671,0.019397378,0.320373327,0.320009917
