sample_number,data_mode,split_version,k,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
151672,all_gene,0,10,0.633277714,0.630918801,0.67252636,0.671211123,0.090308785,0.090071261,0.795787454,0.794303954
151672,all_gene,1,10,0.634691954,0.633270204,0.673274398,0.672111511,0.090641081,0.090457916,0.796675563,0.795782745
151672,all_gene,2,10,0.631820977,0.633052409,0.671830177,0.672509789,0.090054452,0.090171695,0.794871688,0.795645893
151672,all_gene,3,10,0.633039415,0.633982539,0.672154129,0.673211634,0.090219319,0.090450644,0.795637727,0.796230197
151672,all_gene,4,10,0.632098377,0.634058595,0.671347558,0.672830522,0.090229988,0.090471685,0.795046151,0.79627794
151672,all_gene,5,10,0.632336199,0.632163286,0.671841979,0.671988308,0.090021789,0.090053916,0.795195699,0.79508698
151672,all_gene,6,10,0.633733511,0.630426586,0.67257458,0.670834363,0.090589762,0.089808345,0.796073794,0.793994069
151672,all_gene,7,10,0.633066952,0.632303596,0.67261827,0.671666801,0.090466797,0.089870334,0.795655072,0.795175195
151672,all_gene,8,10,0.633608103,0.632553637,0.672681272,0.672317326,0.09066534,0.090085685,0.795995057,0.795332432
151672,all_gene,9,10,0.632258296,0.63271606,0.671846092,0.672064841,0.09013778,0.090032876,0.795146704,0.795434535
151672,all_gene,0,30,0.72089684,0.718593299,0.721761286,0.720564187,0.104728043,0.104471862,0.849056423,0.847698808
151672,all_gene,1,30,0.722751081,0.72116363,0.722626805,0.721498489,0.105158567,0.104914367,0.850147665,0.849213541
151672,all_gene,2,30,0.718832254,0.721139491,0.72065562,0.722057045,0.104349494,0.104650021,0.847839773,0.849199295
151672,all_gene,3,30,0.720842183,0.721480489,0.721394956,0.722212076,0.104675651,0.104868948,0.849024236,0.849400103
151672,all_gene,4,30,0.719700456,0.722200513,0.720578134,0.722353697,0.104634583,0.10496968,0.848351598,0.849823833
151672,all_gene,5,30,0.719944715,0.719894171,0.720979989,0.721273661,0.104380906,0.104478121,0.848495543,0.8484658
151672,all_gene,6,30,0.721381724,0.718262732,0.721787393,0.720389545,0.105024815,0.10419488,0.849341929,0.847503841
151672,all_gene,7,30,0.72143805,0.719851196,0.722222686,0.720989227,0.105044544,0.104157627,0.849375069,0.848440468
151672,all_gene,8,30,0.721495032,0.720311046,0.722106397,0.721666574,0.105153978,0.104520202,0.849408627,0.848711431
151672,all_gene,9,30,0.719960213,0.720998585,0.721207738,0.721595526,0.104541004,0.104548752,0.848504663,0.849116385
151672,all_gene,0,60,0.750348151,0.748058021,0.738378108,0.73720336,0.109396935,0.109147787,0.866226375,0.86490345
151672,all_gene,1,60,0.752498329,0.750715077,0.739356756,0.73818779,0.109891176,0.109611928,0.867466629,0.86643815
151672,all_gene,2,60,0.748444557,0.750757575,0.737378597,0.738755465,0.109038711,0.10933733,0.865126908,0.866462708
151672,all_gene,3,60,0.750621557,0.750957966,0.738202214,0.738870621,0.10940665,0.109533429,0.866384208,0.866578281
151672,all_gene,4,60,0.749201417,0.751594901,0.737239063,0.738881648,0.109304965,0.10963124,0.865564227,0.866945744
151672,all_gene,5,60,0.749721587,0.749189138,0.737823665,0.737892449,0.109097719,0.10910362,0.865864635,0.865557134
151672,all_gene,6,60,0.75104022,0.747637212,0.738511741,0.737013638,0.109755337,0.108835638,0.866625786,0.864660144
151672,all_gene,7,60,0.751142204,0.749174953,0.73891443,0.737597942,0.109773993,0.108782411,0.866684616,0.865548909
151672,all_gene,8,60,0.751322746,0.749958694,0.738966703,0.738378942,0.109906733,0.109204829,0.866788745,0.866001546
151672,all_gene,9,60,0.749224365,0.750664115,0.737810373,0.738331199,0.109168768,0.109247923,0.865577459,0.866408765
151672,all_gene,0,90,0.764590263,0.762210071,0.746637225,0.745398641,0.111577988,0.111318588,0.874408543,0.873046458
151672,all_gene,1,90,0.766788602,0.764843225,0.747647405,0.746379912,0.11208272,0.111776948,0.875664651,0.874553144
151672,all_gene,2,90,0.762767255,0.764993489,0.745657325,0.747024655,0.111227393,0.111514866,0.873365462,0.874639034
151672,all_gene,3,90,0.764971256,0.764987946,0.74650985,0.746966779,0.111607373,0.111675799,0.874626338,0.874635875
151672,all_gene,4,90,0.763282299,0.765786529,0.745423317,0.747143626,0.111451089,0.111803889,0.873660266,0.875092268
151672,all_gene,5,90,0.763935149,0.763440967,0.746061206,0.746162832,0.111269653,0.111269951,0.874033809,0.873751104
151672,all_gene,6,90,0.765265644,0.761945307,0.746751487,0.745302618,0.111938655,0.111023366,0.874794602,0.872894764
151672,all_gene,7,90,0.765414357,0.763525605,0.747167408,0.745846391,0.111968935,0.110978723,0.874879599,0.873799503
