sample_number,data_mode,split_version,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
1,all_gene,0,5.478221416,5.1148839,1.928577423,1.864243031,0.051102877,0.047798574,2.340559959,2.261610985
1,all_gene,1,4.742012024,4.756789684,1.791017413,1.790237308,0.043303668,0.045401931,2.177616119,2.18100667
1,all_gene,2,5.293310642,5.121614456,1.733436346,1.726575613,0.066317439,0.062808394,2.3007195,2.263098478
1,all_gene,3,6.368151188,6.583911419,2.078320503,2.123065233,0.067206442,0.069663644,2.523519516,2.565913439
1,all_gene,4,6.458059788,6.209768295,2.025915623,1.967357397,0.079718292,0.076685727,2.54127121,2.491940737
1,all_gene,5,5.627418518,6.166925907,1.844949603,1.950144172,0.069464982,0.076747775,2.372218132,2.483329535
1,all_gene,6,5.58093071,5.929473877,1.918839931,1.977693439,0.061903,0.065530241,2.36239934,2.435051203
1,all_gene,7,5.578381538,5.681040764,1.841936707,1.856653452,0.070868671,0.069865346,2.361859798,2.383493423
1,all_gene,8,5.244327068,5.425281048,1.93745029,1.987816334,0.047322869,0.048175991,2.290049553,2.329223156
1,all_gene,9,5.913138866,5.569025517,1.890366435,1.847100377,0.073166728,0.067314744,2.431694746,2.359878302
