sample_number,data_mode,split_version,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
1,all_gene,0,0.404609144,0.37782079,0.513641536,0.493556619,0.005545318,0.005264044,0.636088967,0.61467129
1,all_gene,1,0.351097494,0.376711577,0.47757563,0.486504018,0.004822373,0.005272031,0.592534781,0.613768339
1,all_gene,2,0.412113875,0.414178073,0.515849411,0.514728487,0.005618274,0.005624115,0.641960979,0.643566668
1,all_gene,3,0.364350647,0.365518391,0.486197054,0.484379232,0.005005181,0.00498867,0.603614628,0.604581177
1,all_gene,4,0.345746994,0.368063152,0.474057794,0.483942598,0.004809141,0.005075932,0.588002563,0.606682062
1,all_gene,5,0.380798936,0.377332836,0.493087381,0.485836923,0.005285561,0.005180299,0.617089093,0.614274263
1,all_gene,6,0.396835417,0.397112161,0.506709695,0.503748536,0.005509436,0.005439818,0.629948735,0.630168378
1,all_gene,7,0.382694274,0.404476732,0.491750151,0.50695318,0.005263329,0.005491257,0.618622899,0.635984838
1,all_gene,8,0.396759689,0.415638953,0.50506562,0.510344088,0.005432308,0.005681694,0.629888654,0.644700646
1,all_gene,9,0.379894674,0.389768004,0.493903697,0.498939246,0.005235016,0.005345821,0.616355956,0.62431401
