sample_number,data_mode,split_version,k,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
1,all_gene,0,10,2.191001177,2.05103898,1.020692468,0.987098157,0.027779281,0.026131451,1.480203032,1.43214488
1,all_gene,1,10,2.067992449,2.285857916,1.000912189,1.054736972,0.025977135,0.029044807,1.438051581,1.511905432
1,all_gene,2,10,2.111545086,2.153044939,1.002202988,1.012066722,0.026474953,0.027269244,1.453115702,1.467325807
1,all_gene,3,10,2.097131491,2.082798481,0.99890846,1.002442956,0.026720941,0.026149511,1.448147655,1.443190336
1,all_gene,4,10,2.154881001,2.03490591,1.024435997,0.985556126,0.027178407,0.025697827,1.467951298,1.426501274
1,all_gene,5,10,2.134351969,2.424288988,0.997191906,1.088961005,0.027362525,0.030485511,1.460942149,1.557012796
1,all_gene,6,10,2.196877956,2.153851271,1.013838649,1.022464514,0.028419793,0.026967645,1.482186913,1.467600465
1,all_gene,7,10,2.044936657,2.055895805,0.998623967,0.996093392,0.026016295,0.025610328,1.430012822,1.43383956
1,all_gene,8,10,2.380814075,2.373052597,1.071476817,1.067112327,0.030102313,0.030005038,1.542988658,1.540471554
1,all_gene,9,10,2.272312641,2.055482149,1.039650559,0.996652782,0.028939664,0.025915384,1.507419229,1.433695316
1,all_gene,0,30,2.791060209,2.620753288,1.180210471,1.15069294,0.034738898,0.032694638,1.670646667,1.618874073
1,all_gene,1,30,2.728683472,2.863581181,1.180461049,1.20778358,0.033594608,0.035859168,1.651872754,1.692211866
1,all_gene,2,30,2.737088442,2.648245335,1.168045044,1.148225784,0.033903837,0.032806396,1.654414892,1.627343059
1,all_gene,3,30,2.583486795,2.696564436,1.145225048,1.16890049,0.031993985,0.033226728,1.607322812,1.642121911
1,all_gene,4,30,2.730964661,2.600070477,1.183846831,1.144773602,0.03382206,0.032109201,1.652563095,1.612473369
1,all_gene,5,30,2.62732172,2.990600109,1.150134563,1.236112237,0.03282243,0.03694737,1.620901465,1.729335189
1,all_gene,6,30,2.70729351,2.703976631,1.169610739,1.17504251,0.03407383,0.033291519,1.645385504,1.644377232
1,all_gene,7,30,2.685989141,2.639687777,1.174700379,1.152701855,0.033671796,0.032170296,1.63889873,1.624711633
1,all_gene,8,30,3.013484716,2.915067911,1.238029122,1.219181299,0.037457645,0.035974622,1.735939145,1.707357049
1,all_gene,9,30,2.852746964,2.604279041,1.193225861,1.149784088,0.035489321,0.03205061,1.68900764,1.613777876
1,all_gene,0,60,3.198639393,3.000874281,1.28558588,1.253269315,0.039509773,0.037061632,1.788474083,1.732303143
1,all_gene,1,60,3.171434879,3.324983597,1.287286401,1.323670149,0.038819373,0.041262627,1.780852318,1.823453784
1,all_gene,2,60,3.128825426,3.023641109,1.272947311,1.251119971,0.038493156,0.037007511,1.768848658,1.738862038
1,all_gene,3,60,2.994572163,3.138089895,1.249089241,1.279849887,0.036840379,0.038389266,1.730483174,1.771465421
1,all_gene,4,60,3.16627121,3.047668219,1.294484138,1.259371877,0.038905203,0.03727299,1.779401898,1.745757222
1,all_gene,5,60,3.003586769,3.422127724,1.251239896,1.342229724,0.037044346,0.042017817,1.733085871,1.849899411
1,all_gene,6,60,3.072419167,3.153782129,1.256685734,1.290258884,0.038348615,0.038557172,1.752831697,1.775889158
1,all_gene,7,60,3.097177982,3.030376673,1.281869173,1.256784916,0.038467407,0.03656441,1.759880066,1.740797758
1,all_gene,8,60,3.42622757,3.351132631,1.340203524,1.329262495,0.042232871,0.041037738,1.851007223,1.830609918
1,all_gene,9,60,3.243252754,2.956547499,1.297133327,1.245727897,0.040006042,0.035963297,1.80090332,1.719461441
1,all_gene,0,90,3.467361927,3.253226042,1.355330467,1.319257736,0.042489946,0.039928198,1.862085342,1.803670168
1,all_gene,1,90,3.420014858,3.599865913,1.357274055,1.393361449,0.041482091,0.044462919,1.84932816,1.897331238
1,all_gene,2,90,3.366379738,3.24958849,1.333823085,1.313869357,0.041135848,0.039408207,1.834769726,1.802661538
