sample_number,data_mode,split_version,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
1,all_gene,0,4.119442463,4.113655567,1.650955081,1.653589845,0.086968899,0.086639583,2.029640913,2.028214931
1,all_gene,1,4.211305141,4.147386551,1.681343198,1.662050843,0.087448001,0.087998271,2.052146435,2.036513329
1,all_gene,2,3.757360697,3.791262627,1.559967279,1.570021749,0.081109226,0.082228541,1.938391209,1.947116494
1,all_gene,3,3.74947381,3.732297897,1.559441686,1.554685712,0.081829667,0.081475258,1.936355829,1.931915641
1,all_gene,4,3.919229746,3.915219307,1.607572913,1.603850365,0.084679961,0.084028542,1.979704499,1.978691339
1,all_gene,5,3.839020491,3.808995962,1.578799248,1.572981477,0.082682729,0.082290947,1.959341884,1.951664925
1,all_gene,6,4.170454502,4.164824009,1.665978909,1.666444659,0.087366164,0.08777678,2.042169094,2.040790081
1,all_gene,7,3.997217894,4.023527622,1.620274782,1.62471807,0.085466444,0.086741924,1.999304295,2.005873203
1,all_gene,8,3.887442589,3.90517354,1.600401878,1.601850748,0.08379817,0.08428663,1.971659899,1.976151228
1,all_gene,9,3.931087494,3.945115805,1.606326818,1.608274817,0.084330082,0.084997773,1.98269701,1.986231565
