sample_number,data_mode,split_version,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
2,all_gene,0,0.629652917,0.626648426,0.620593131,0.618937194,0.016844809,0.016858578,0.793506742,0.791611314
2,all_gene,1,0.615664244,0.608812511,0.613123775,0.614145577,0.016505361,0.016346514,0.784642756,0.780264378
2,all_gene,2,0.636257887,0.629904628,0.62659061,0.622939765,0.017152488,0.016859829,0.797657728,0.79366529
2,all_gene,3,0.623322725,0.636417687,0.619260669,0.625729978,0.016803205,0.017060935,0.789507926,0.797757924
2,all_gene,4,0.649290204,0.649464309,0.630272508,0.632227004,0.017481804,0.017374277,0.805785477,0.805893481
2,all_gene,5,0.611307383,0.62061888,0.61228621,0.615521967,0.01637876,0.016549349,0.781861484,0.787793696
2,all_gene,6,0.634399235,0.634684265,0.625698566,0.621403515,0.017019033,0.017053545,0.796491802,0.796670735
2,all_gene,7,0.633065403,0.628620446,0.623902082,0.621027887,0.017023265,0.016865432,0.795654058,0.792855859
2,all_gene,8,0.610574424,0.607820392,0.61090529,0.608047903,0.016311288,0.016292334,0.781392634,0.779628396
2,all_gene,9,0.628207445,0.630396664,0.618760347,0.619332671,0.016902745,0.016748309,0.792595387,0.793975234
