sample_number,data_mode,split_version,k,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
2,all_gene,0,10,1.941044092,1.94418788,1.041610241,1.040146589,0.04602015,0.046402216,1.39321363,1.39434135
2,all_gene,1,10,1.941622019,1.951675415,1.038556099,1.042610765,0.045957506,0.046279311,1.393420935,1.397023797
2,all_gene,2,10,1.936812758,1.942432165,1.038270712,1.040815592,0.046333969,0.046064496,1.391694188,1.393711686
2,all_gene,3,10,1.959966063,1.973474979,1.046835542,1.046877265,0.046557486,0.046890974,1.399987936,1.40480423
2,all_gene,4,10,1.929756761,1.962646365,1.037702799,1.044779897,0.045896471,0.046563089,1.389156818,1.400944829
2,all_gene,5,10,1.924677253,1.921932101,1.036026239,1.034251094,0.045855463,0.045512915,1.387327433,1.386337638
2,all_gene,6,10,1.92501533,1.967509151,1.035685897,1.046496034,0.045793235,0.046973884,1.387449265,1.402679324
2,all_gene,7,10,1.960816026,1.945862293,1.043920517,1.04409337,0.046771407,0.04607892,1.400291443,1.394941688
2,all_gene,8,10,1.919798136,1.922929168,1.034408212,1.033047438,0.045455337,0.045644641,1.385567784,1.386697173
2,all_gene,9,10,1.935916662,1.952410817,1.038849592,1.042141795,0.046358287,0.046029747,1.391372204,1.397286892
2,all_gene,0,30,2.222445488,2.218087196,1.134583235,1.130051374,0.05159992,0.051871717,1.49078691,1.48932445
2,all_gene,1,30,2.227893114,2.228898764,1.133582711,1.135350227,0.051627219,0.051681876,1.492612839,1.492949724
2,all_gene,2,30,2.209309101,2.226332664,1.128886104,1.134816051,0.051721573,0.051712453,1.486374497,1.492089987
2,all_gene,3,30,2.253598452,2.240167618,1.140582204,1.135374546,0.052532434,0.052107275,1.501199007,1.496719003
2,all_gene,4,30,2.214983463,2.246222019,1.132469773,1.136894464,0.051646709,0.052315354,1.488282084,1.498740196
2,all_gene,5,30,2.215018749,2.205651283,1.13311553,1.127080679,0.051621675,0.051161468,1.488293886,1.485143542
2,all_gene,6,30,2.204512119,2.242544651,1.128620505,1.136164665,0.051405966,0.052490175,1.484759927,1.497512817
2,all_gene,7,30,2.237134457,2.223501682,1.133626223,1.135918379,0.052309513,0.051606715,1.495705366,1.491141081
2,all_gene,8,30,2.203409195,2.208097935,1.128107786,1.128864408,0.051111102,0.051294982,1.484388471,1.48596704
2,all_gene,9,30,2.214318037,2.233104706,1.130046129,1.135204554,0.051987529,0.05150795,1.488058448,1.494357586
2,all_gene,0,60,2.358290434,2.355885029,1.178372025,1.174830556,0.054216325,0.054558635,1.535672665,1.534889221
2,all_gene,1,60,2.361334562,2.36743927,1.176997185,1.179986715,0.054191768,0.05434674,1.536663413,1.538648486
2,all_gene,2,60,2.341737509,2.366307497,1.171686172,1.180103183,0.054288149,0.054411232,1.530273676,1.538280725
2,all_gene,3,60,2.386419535,2.3699193,1.183878779,1.17773056,0.055070937,0.054537594,1.544804096,1.539454222
2,all_gene,4,60,2.347124815,2.38274169,1.175447822,1.181522489,0.054220617,0.054928899,1.532032847,1.543613195
2,all_gene,5,60,2.356503725,2.335662127,1.178483009,1.169599056,0.054394901,0.053680956,1.535090804,1.528287292
2,all_gene,6,60,2.33806181,2.373790264,1.172784925,1.178645015,0.053939521,0.05504179,1.529072165,1.540710926
2,all_gene,7,60,2.363287926,2.36360836,1.175897241,1.178867579,0.054639101,0.054371595,1.537298918,1.537403107
2,all_gene,8,60,2.337050676,2.346206903,1.170969009,1.174106121,0.053690374,0.053971469,1.528741479,1.531733274
2,all_gene,9,60,2.348650217,2.371503592,1.173191786,1.179697514,0.054576099,0.054200292,1.532530665,1.539968729
