data_mode,split_version,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
all_gene,0,0.994406641,0.995741606,0.796514452,0.79764837,0.015829623,0.015733659,0.997199416,0.997868538
all_gene,1,0.990446329,1.003154039,0.793668687,0.801300645,0.015532315,0.015853047,0.99521172,1.001575828
all_gene,2,0.994332016,0.980809093,0.800009549,0.788148522,0.015753746,0.015633106,0.997161984,0.990358055
all_gene,3,1.027096748,0.997157872,0.815589905,0.799108446,0.016247272,0.015799046,1.013457775,0.998577952
all_gene,4,1.010883451,0.983281851,0.802666903,0.793940783,0.016014159,0.015590131,1.005427003,0.991605699
all_gene,5,1.015199304,1.006571531,0.808424115,0.806598842,0.015859127,0.015715182,1.007570982,1.003280401
all_gene,6,0.958315551,0.989432752,0.787812233,0.794401228,0.015082002,0.015590549,0.978935957,0.994702339
all_gene,7,1.030770421,0.985833764,0.811324418,0.794404924,0.016283095,0.01554358,1.015268683,0.99289161
all_gene,8,1.02945745,1.026008368,0.815609038,0.817754984,0.016074419,0.016103506,1.014621854,1.012920737
all_gene,9,1.03739953,1.027724981,0.816356242,0.802910328,0.01630199,0.016078889,1.018528104,1.013767719
