data_mode,split_version,k,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
all_gene,0,10,0.770708442,0.748259544,0.662321746,0.653654754,0.011421442,0.010926127,0.877900004,0.865019977
all_gene,1,10,0.766195893,0.776657701,0.65732193,0.668355703,0.010969222,0.011297166,0.875326157,0.881281853
all_gene,2,10,0.746167243,0.759110451,0.655660272,0.655595541,0.010976255,0.011222303,0.863809705,0.871269464
all_gene,3,10,0.751424253,0.754649937,0.657700121,0.659310281,0.010998785,0.011036038,0.866847336,0.868705869
all_gene,4,10,0.781136632,0.768592834,0.66696173,0.660382032,0.011488438,0.011236191,0.883819342,0.876694262
all_gene,5,10,0.738651156,0.762092769,0.653526127,0.663670778,0.010714352,0.011103034,0.859448195,0.872979224
all_gene,6,10,0.757928312,0.758322358,0.657889187,0.662239492,0.010971546,0.010911703,0.870590806,0.870817065
all_gene,7,10,0.7706725,0.749800801,0.663843691,0.654734969,0.011251688,0.010847449,0.87787956,0.865910411
all_gene,8,10,0.775267363,0.761713624,0.670573115,0.657898188,0.011185229,0.011236429,0.880492687,0.872762084
all_gene,9,10,0.770647407,0.758666337,0.666063905,0.658022046,0.011326969,0.01112622,0.877865255,0.871014535
all_gene,0,30,0.848520458,0.840067565,0.706063688,0.703874111,0.011904359,0.011590362,0.921151698,0.916552007
all_gene,1,30,0.860732079,0.86561954,0.707743347,0.716858387,0.011572242,0.011870503,0.927756488,0.930386782
all_gene,2,30,0.833232522,0.854642272,0.702581346,0.705974877,0.011559188,0.01202786,0.91281569,0.924468637
all_gene,3,30,0.835731447,0.837800503,0.705155015,0.703062296,0.011579394,0.011546314,0.914183497,0.915314436
all_gene,4,30,0.88063705,0.851538599,0.71482414,0.707080901,0.012279034,0.011758208,0.93842262,0.922788501
all_gene,5,30,0.827700913,0.852658153,0.701680243,0.712133408,0.011321485,0.011764526,0.909780681,0.923394918
all_gene,6,30,0.862941086,0.846301317,0.711838961,0.711466193,0.011800528,0.011450052,0.928946197,0.919946373
all_gene,7,30,0.849955201,0.828026354,0.706747115,0.701144099,0.011736453,0.011250257,0.921930134,0.909959555
all_gene,8,30,0.865709424,0.849900126,0.719563842,0.704407096,0.011801779,0.011882961,0.930435061,0.921900272
all_gene,9,30,0.880474031,0.836253047,0.719721437,0.701820493,0.012245476,0.011565626,0.938335776,0.914468706
all_gene,0,60,0.924681067,0.919523239,0.740916073,0.736347497,0.012548745,0.012316763,0.961603403,0.958917737
all_gene,1,60,0.936047971,0.941991687,0.741599679,0.749098182,0.012131751,0.012530863,0.967495739,0.970562577
all_gene,2,60,0.9128443,0.920429945,0.736896098,0.735774159,0.012262166,0.012520373,0.955428839,0.959390402
all_gene,3,60,0.905557692,0.914287925,0.737001002,0.737085521,0.012139797,0.012194693,0.951607943,0.95618403
all_gene,4,60,0.953341305,0.927256584,0.747003257,0.741197228,0.012868047,0.012420714,0.976391971,0.962941647
all_gene,5,60,0.904050469,0.922138691,0.736941874,0.743830383,0.011948287,0.012302637,0.950815678,0.960280538
all_gene,6,60,0.928378582,0.92209512,0.742647469,0.743107498,0.01230365,0.012061298,0.963524044,0.960257828
all_gene,7,60,0.915980995,0.896413743,0.738955677,0.731609404,0.012239814,0.011753857,0.95706898,0.946791291
all_gene,8,60,0.94228363,0.921641529,0.753167331,0.736670732,0.012397647,0.012514889,0.97071296,0.960021615
all_gene,9,60,0.943162799,0.908480644,0.75114274,0.735245466,0.012669981,0.012138605,0.971165717,0.953142524
all_gene,0,90,0.976910055,0.974565744,0.762532592,0.760489643,0.01303941,0.012827158,0.988387585,0.987200975
all_gene,1,90,0.988340557,0.995018899,0.763907015,0.770947516,0.012578845,0.012967706,0.994153202,0.99750632
all_gene,2,90,0.963943124,0.973622084,0.758932829,0.75913465,0.012709916,0.013024926,0.98180604,0.986722887
all_gene,3,90,0.956085145,0.969188094,0.758636236,0.75970912,0.012577176,0.012710214,0.977796078,0.984473526
all_gene,4,90,1.003905892,0.980094194,0.767903209,0.763212681,0.013324618,0.012890399,1.001951098,0.989997089
all_gene,5,90,0.952357173,0.972809613,0.756624341,0.765139937,0.012339711,0.012732446,0.975887895,0.986311138
all_gene,6,90,0.983131409,0.971076488,0.766190886,0.763920844,0.012790501,0.012465954,0.991529822,0.985432148
all_gene,7,90,0.963826239,0.951029778,0.759527981,0.756172836,0.012622058,0.01220727,0.981746554,0.975207567
all_gene,8,90,0.994822502,0.973747671,0.774095476,0.759957612,0.012837946,0.012988091,0.997407913,0.986786544
all_gene,9,90,0.994472086,0.963957071,0.774487376,0.75875771,0.01311928,0.012653768,0.997232199,0.981813133
all_gene,0,120,1.021457434,1.017455697,0.780107856,0.77805227,0.013472736,0.013211191,1.010671735,1.008690119
all_gene,1,120,1.038784623,1.041525841,0.784120023,0.789721966,0.013062477,0.013407528,1.019207835,1.020551682
all_gene,2,120,1.006527781,1.020282626,0.775859177,0.778281271,0.013107717,0.013505578,1.003258586,1.010090351
all_gene,3,120,1.002707601,1.007963777,0.777586937,0.77588737,0.013035536,0.013037086,1.001352906,1.003973961
all_gene,4,120,1.054424644,1.020523429,0.787480175,0.780286908,0.01380223,0.013257682,1.026851773,1.01020956
all_gene,5,120,0.997992754,1.020294905,0.775394678,0.782695234,0.012799382,0.013179004,0.9989959,1.010096431
all_gene,6,120,1.025507092,1.016824484,0.783798814,0.782709956,0.013180017,0.012919545,1.012673259,1.008377194
all_gene,7,120,1.006902337,0.996113122,0.777572513,0.774579644,0.0130288,0.012630045,1.003445268,0.998054683
all_gene,8,120,1.04258585,1.018190145,0.792581141,0.777041256,0.013293028,0.013450742,1.021070957,1.009054065
all_gene,9,120,1.038677335,1.01043272,0.791769385,0.777966857,0.01352334,0.01309216,1.019155264,1.00520277
