sample_number,data_mode,split_version,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
1,all_gene,0,6.353513718,6.402934551,2.127185822,2.135996819,0.11682719,0.118586719,2.520617723,2.530401945
1,all_gene,1,6.210315704,6.19851017,2.099571466,2.091880798,0.11790055,0.119918406,2.492050409,2.489680767
1,all_gene,2,6.452693939,6.466415405,2.143173456,2.149132013,0.120136797,0.12029767,2.540215254,2.542914629
1,all_gene,3,6.061347961,6.248915195,2.078907251,2.099527359,0.114451289,0.116523564,2.461980581,2.499783039
1,all_gene,4,6.360257626,6.425230503,2.162460327,2.171554565,0.106015265,0.107503951,2.521955013,2.534803867
1,all_gene,5,6.08689642,6.097655296,2.073955059,2.07013464,0.117199779,0.117229581,2.467163563,2.469343185
1,all_gene,6,6.420441151,6.487970829,2.152331591,2.169355869,0.117566824,0.11695683,2.533859015,2.547149658
1,all_gene,7,6.160852909,6.143003464,2.08775425,2.080295563,0.115566254,0.116539717,2.482106447,2.478508234
1,all_gene,8,6.559026718,6.418809414,2.192354202,2.176123142,0.111734211,0.110113323,2.561059713,2.533536911
1,all_gene,9,6.506910801,6.572002888,2.17813015,2.191548586,0.11574471,0.118519008,2.550864697,2.563591719
