sample_number,data_mode,split_version,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
4,all_gene,0,5.002466679,4.993115425,2.063182592,2.062239647,0.154972792,0.153917849,2.236619473,2.234528065
4,all_gene,1,5.007584095,5.037329197,2.064756632,2.074456453,0.162826121,0.163242102,2.237763166,2.244399548
4,all_gene,2,4.948596954,4.977096081,2.047382116,2.051855803,0.156749785,0.157789588,2.224544287,2.23094058
4,all_gene,3,4.947622776,4.972407818,2.051318645,2.057664156,0.152322292,0.15087837,2.22432518,2.229889631
4,all_gene,4,4.996330738,5.004062653,2.061389208,2.065009594,0.15645045,0.157216668,2.235247374,2.236976147
4,all_gene,5,4.994328022,4.989555359,2.059499741,2.062213182,0.154244304,0.154069066,2.234799385,2.23373127
4,all_gene,6,5.028108597,5.02712059,2.071611643,2.071099758,0.157360494,0.158024609,2.242344379,2.242124081
4,all_gene,7,5.109153748,5.062118053,2.093719721,2.083210468,0.152632654,0.150937736,2.26034379,2.249915123
4,all_gene,8,5.03815794,5.070857048,2.075773001,2.080827236,0.157500625,0.158215165,2.244584084,2.251856327
4,all_gene,9,4.999191284,4.944053173,2.062958717,2.049068689,0.156310737,0.155463696,2.235887051,2.223522663
