sample_number,data_mode,split_version,k,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
2,all_gene,0,10,4.469536781,4.54658699,1.745559931,1.748641729,0.069930255,0.073404431,2.114127874,2.13227272
2,all_gene,1,10,4.43224144,4.61713171,1.734312296,1.77442646,0.068971038,0.075485051,2.105288982,2.148751259
2,all_gene,2,10,4.534984112,4.523679256,1.757511735,1.749262571,0.071583331,0.07324326,2.129550219,2.126894236
2,all_gene,3,10,4.474956512,4.465199947,1.734104514,1.73075366,0.071553767,0.071007252,2.115409374,2.113101959
2,all_gene,4,10,4.534311771,4.468800068,1.747166991,1.736511946,0.073161542,0.070876062,2.129392385,2.11395359
2,all_gene,5,10,4.644376278,4.367285252,1.780524969,1.713489175,0.071788907,0.069471121,2.155081511,2.089805126
2,all_gene,6,10,4.692570686,4.533219337,1.788853049,1.75420773,0.073419988,0.072747827,2.166234255,2.129135847
2,all_gene,7,10,4.529109478,4.432995796,1.754420519,1.732832432,0.070776343,0.069838941,2.12817049,2.105468035
2,all_gene,8,10,4.441713333,4.503787994,1.734192014,1.733467102,0.068999887,0.070853293,2.10753727,2.122212887
2,all_gene,9,10,4.524656773,4.580514908,1.740065932,1.757436752,0.071243167,0.073213279,2.127124071,2.140213728
2,all_gene,0,30,5.201053143,5.246639729,1.924947262,1.91705811,0.077719867,0.081335127,2.280581713,2.290554523
2,all_gene,1,30,5.157369614,5.352272034,1.918939829,1.947375774,0.075939357,0.083828747,2.270984173,2.313497782
2,all_gene,2,30,5.308892727,5.235560417,1.938367367,1.91813159,0.08033371,0.081125677,2.304103374,2.288134813
2,all_gene,3,30,5.155695438,5.242871284,1.904009223,1.92135632,0.077972293,0.079663575,2.270615578,2.289731741
2,all_gene,4,30,5.277671337,5.192388535,1.924364448,1.914530396,0.081028044,0.078676045,2.29731822,2.278681278
2,all_gene,5,30,5.358993053,5.072974682,1.955933452,1.886782765,0.078859866,0.076825559,2.314949989,2.252326488
2,all_gene,6,30,5.448050499,5.30764389,1.970691562,1.936279178,0.08167851,0.081817389,2.334105968,2.303832531
2,all_gene,7,30,5.324914932,5.204947948,1.938421488,1.918289304,0.080014348,0.078613043,2.30757761,2.28143549
2,all_gene,8,30,5.255365849,5.28477478,1.928514123,1.919481158,0.078289807,0.079764664,2.292458534,2.298863888
2,all_gene,9,30,5.331896782,5.293337345,1.931112528,1.93193388,0.081234694,0.080239773,2.309090137,2.30072546
2,all_gene,0,60,5.564360619,5.611553192,2.008261442,2.003400087,0.081364393,0.084705651,2.358889818,2.368871689
2,all_gene,1,60,5.559799671,5.751908302,2.012845278,2.039450407,0.080036521,0.087665617,2.357922792,2.398313522
2,all_gene,2,60,5.685798168,5.641514301,2.026501656,2.014407158,0.083938658,0.085467577,2.384491205,2.375187159
2,all_gene,3,60,5.547290802,5.656210423,1.992630363,2.021284103,0.082335472,0.083462775,2.355268717,2.378278971
2,all_gene,4,60,5.658696175,5.594769001,2.014557123,2.005821705,0.084841549,0.083060205,2.378801346,2.365326405
2,all_gene,5,60,5.767352104,5.50532341,2.052590847,1.986583352,0.082221687,0.081386268,2.401531219,2.346342564
2,all_gene,6,60,5.863802433,5.673409939,2.065258265,2.022144079,0.085997462,0.08498168,2.421529055,2.381892204
2,all_gene,7,60,5.720498562,5.610012531,2.031329155,2.00709796,0.084126651,0.082975864,2.391756296,2.368546486
2,all_gene,8,60,5.677644253,5.698079586,2.024671078,2.017585993,0.082445025,0.084163606,2.38278079,2.387065172
2,all_gene,9,60,5.740942955,5.673575401,2.025270939,2.022704124,0.085624278,0.084011436,2.396026611,2.381926775
2,all_gene,0,90,5.780076981,5.830049515,2.056648731,2.053278446,0.083762169,0.087064385,2.404179096,2.414549589
