sample_number,data_mode,split_version,k,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
4,all_gene,0,10,3.832955599,3.81046629,1.734870076,1.729675055,0.122125447,0.121730804,1.957793593,1.952041626
4,all_gene,1,10,3.805247307,3.838958502,1.727580309,1.738419414,0.121692538,0.12268132,1.950704336,1.959326029
4,all_gene,2,10,3.808316469,3.831648111,1.731025577,1.736178398,0.121579587,0.121790707,1.951490879,1.957459569
4,all_gene,3,10,3.796145916,3.82597518,1.726082921,1.734813213,0.121942103,0.12199533,1.948370099,1.956009984
4,all_gene,4,10,3.813418865,3.844099283,1.730069757,1.738378644,0.121412277,0.122981131,1.952797651,1.96063745
4,all_gene,5,10,3.821806431,3.831365108,1.729465842,1.735614419,0.122106493,0.122628808,1.954944134,1.957387328
4,all_gene,6,10,3.830012083,3.823303461,1.737309337,1.734826446,0.121706724,0.121994019,1.957041621,1.955326915
4,all_gene,7,10,3.849352598,3.820408821,1.741140485,1.733754277,0.121829093,0.121449769,1.961976647,1.954586625
4,all_gene,8,10,3.821743727,3.846302986,1.732075691,1.736541986,0.122187495,0.122823119,1.954928041,1.961199403
4,all_gene,9,10,3.872166872,3.799309015,1.747500896,1.725865245,0.122952759,0.121620476,1.967782259,1.949181676
4,all_gene,0,30,4.406138897,4.384224892,1.892660975,1.887979269,0.141285896,0.14038676,2.099080563,2.093854189
4,all_gene,1,30,4.372500896,4.411139965,1.883337021,1.895926952,0.140504897,0.141417682,2.091052532,2.100271463
4,all_gene,2,30,4.388706684,4.41535902,1.890384316,1.895559788,0.140070617,0.140932202,2.094923973,2.101275682
4,all_gene,3,30,4.39022398,4.405256271,1.889306664,1.894456029,0.141684055,0.140563726,2.095286131,2.098870277
4,all_gene,4,30,4.394423485,4.414100647,1.888834834,1.894307137,0.140521824,0.142145336,2.096287966,2.100976229
4,all_gene,5,30,4.41240406,4.406534195,1.890214682,1.893928051,0.141608179,0.141637266,2.100572348,2.099174738
4,all_gene,6,30,4.404328823,4.411414623,1.895660996,1.896373272,0.140632987,0.141340435,2.098649263,2.10033679
4,all_gene,7,30,4.441751003,4.383731842,1.901634574,1.888551831,0.141588926,0.139636636,2.107546091,2.09373641
4,all_gene,8,30,4.404663086,4.429537773,1.892037749,1.897340298,0.141499281,0.141797781,2.098728895,2.104646683
4,all_gene,9,30,4.454712391,4.383697987,1.906825304,1.885965109,0.14199841,0.140951455,2.110619068,2.093728304
4,all_gene,0,60,4.616731644,4.587638378,1.950727463,1.944697857,0.147629082,0.146256268,2.148658037,2.141877413
4,all_gene,1,60,4.594387054,4.624554634,1.944897771,1.955233812,0.147254884,0.147597909,2.143452168,2.150477886
4,all_gene,2,60,4.605015278,4.636203766,1.950232267,1.956293344,0.146531403,0.147507608,2.145930052,2.153184652
4,all_gene,3,60,4.600955963,4.624296665,1.948055029,1.954306602,0.147871673,0.14707619,2.144984007,2.150417805
4,all_gene,4,60,4.60317421,4.621938705,1.946725488,1.952507257,0.146685779,0.14809835,2.145500898,2.149869442
4,all_gene,5,60,4.618657112,4.620883465,1.947787642,1.952669501,0.147518933,0.148196876,2.149106026,2.149624109
4,all_gene,6,60,4.625435829,4.626211166,1.956082344,1.955673218,0.147185862,0.147691786,2.150682688,2.150862932
4,all_gene,7,60,4.655447483,4.600609303,1.960639,1.949102402,0.14784199,0.145888567,2.157648563,2.144903183
4,all_gene,8,60,4.611257076,4.642030239,1.949974895,1.956248283,0.147269785,0.14802593,2.14738369,2.154537201
4,all_gene,9,60,4.67045784,4.597607613,1.965760708,1.945940733,0.148459852,0.147004724,2.161124229,2.144203186
4,all_gene,0,90,4.718866348,4.69320488,1.979359746,1.974371195,0.150287747,0.148854792,2.172295094,2.166380644
4,all_gene,1,90,4.706918716,4.734390736,1.976517677,1.986013532,0.150329053,0.150490344,2.169543505,2.175865412
4,all_gene,2,90,4.71833086,4.748874664,1.981844902,1.987448335,0.149460495,0.150559366,2.172171831,2.179191351
4,all_gene,3,90,4.710040092,4.73735714,1.979144454,1.985664606,0.150728881,0.150097907,2.170262575,2.17654705
4,all_gene,4,90,4.709218502,4.732206345,1.976384163,1.983391523,0.149328113,0.15102452,2.170073271,2.175363541
4,all_gene,5,90,4.727710724,4.726509571,1.978310943,1.982827902,0.150372148,0.150924921,2.174329996,2.174053669
4,all_gene,6,90,4.733951569,4.728349209,1.98588562,1.984724402,0.150013566,0.150275171,2.175764561,2.174476862
4,all_gene,7,90,4.761735439,4.710644245,1.990595818,1.97970283,0.150495231,0.148776054,2.182140112,2.170401812
4,all_gene,8,90,4.719563484,4.748546124,1.980323792,1.986594796,0.15029788,0.150599241,2.172455549,2.179116011
4,all_gene,9,90,4.778410435,4.710916996,1.995666265,1.977770925,0.15123117,0.150087774,2.18595767,2.170464754
4,all_gene,0,120,4.792851448,4.766615391,2.000786543,1.995725751,0.15183574,0.150274932,2.189258099,2.183258057
4,all_gene,1,120,4.779608727,4.803048611,1.997727633,2.00654912,0.1517995,0.151638448,2.186231613,2.191585779
4,all_gene,2,120,4.793426037,4.820819378,2.003694534,2.008083105,0.150886416,0.151931524,2.189389467,2.195636511
4,all_gene,3,120,4.780083179,4.809946537,1.999586463,2.006890059,0.152017474,0.151478767,2.186340094,2.193159103
4,all_gene,4,120,4.782330513,4.805591106,1.997491241,2.005197287,0.150733173,0.152351081,2.186854124,2.192165852
4,all_gene,5,120,4.797947407,4.800364971,1.999019504,2.004448414,0.151751757,0.152336538,2.19042182,2.19097352
4,all_gene,6,120,4.806032658,4.801083565,2.006704807,2.005717993,0.151316345,0.151877582,2.192266464,2.191137552
4,all_gene,7,120,4.831142902,4.782340527,2.010831356,2.000849724,0.151699662,0.150143266,2.197986126,2.18685627
4,all_gene,8,120,4.790847778,4.820579052,2.001427412,2.007166624,0.151471615,0.152051568,2.188800573,2.195581675
4,all_gene,9,120,4.849504948,4.782659531,2.016485691,1.998601913,0.152687073,0.151543379,2.202159166,2.186929226
