sample_number,data_mode,split_version,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
3,all_gene,0,0.905726075,0.929981351,0.765964925,0.779740334,0.01912117,0.019623399,0.951696396,0.964355409
3,all_gene,1,0.862255871,0.869057238,0.75950861,0.764415503,0.019290566,0.018920898,0.928577363,0.93223238
3,all_gene,2,0.938808441,0.937306345,0.791419029,0.781816065,0.020810783,0.020432889,0.968921304,0.968145847
3,all_gene,3,0.911464632,0.854792655,0.782829344,0.756316185,0.020026743,0.018742859,0.95470655,0.924549997
3,all_gene,4,0.922268808,0.956524372,0.78368485,0.794290423,0.019913673,0.020746469,0.960348248,0.978020668
3,all_gene,5,0.955516756,0.954859257,0.804804802,0.799942434,0.020787716,0.020113885,0.977505386,0.977168977
3,all_gene,6,0.930262327,0.900579333,0.780908287,0.769615769,0.020489097,0.019647777,0.964501083,0.948988557
3,all_gene,7,0.91561538,0.93418318,0.78277415,0.791072905,0.020012558,0.020501018,0.956877947,0.966531515
3,all_gene,8,0.87075907,0.917994976,0.764173925,0.781234086,0.01911509,0.020460069,0.933144748,0.958120525
3,all_gene,9,0.91685611,0.899561346,0.779685736,0.781325102,0.019925475,0.019799173,0.957526028,0.948452055
