sample_number,data_mode,split_version,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
4,all_gene,0,0.227298617,0.227267608,0.369282067,0.370048285,0.00917995,0.009194493,0.47675845,0.476725936
4,all_gene,1,0.209501967,0.20753029,0.348654985,0.346772552,0.008396566,0.008330584,0.457713842,0.455554932
4,all_gene,2,0.220683098,0.217328548,0.368164897,0.366615653,0.008940279,0.008827448,0.46976921,0.466185093
4,all_gene,3,0.214146212,0.21753037,0.375263482,0.379078925,0.008451939,0.008586109,0.462759346,0.466401517
4,all_gene,4,0.236594632,0.231107011,0.37881583,0.375636965,0.009567738,0.009393215,0.486409932,0.480735898
4,all_gene,5,0.23559019,0.232998788,0.398964614,0.398646235,0.008933842,0.008815467,0.485376328,0.482699484
4,all_gene,6,0.211418971,0.206019104,0.364696831,0.360533297,0.008558333,0.008330584,0.459803194,0.453893274
4,all_gene,7,0.214165851,0.212119102,0.34735027,0.345350057,0.008492947,0.008455515,0.462780565,0.460563898
4,all_gene,8,0.204565346,0.212174639,0.351983428,0.358025551,0.008301973,0.008563638,0.452289015,0.460624188
4,all_gene,9,0.212619618,0.21446991,0.378151268,0.379365534,0.008333027,0.008413911,0.461106956,0.463108957
