sample_number,data_mode,split_version,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
911,all_gene,0,0.386633366,0.386614531,0.491616696,0.491489291,0.119641304,0.11986655,0.621798515,0.621783376
911,all_gene,1,0.374554962,0.375465006,0.484963387,0.485550642,0.107454896,0.107607543,0.612008929,0.61275202
911,all_gene,2,0.37462914,0.375020772,0.485435605,0.485668927,0.107193649,0.10719943,0.612069547,0.612389386
911,all_gene,3,0.379993498,0.380053699,0.489250094,0.489381909,0.109382927,0.109274864,0.616436124,0.61648494
911,all_gene,4,0.373953789,0.374715358,0.484639198,0.485083073,0.106454253,0.106587648,0.611517608,0.61214
911,all_gene,5,0.372738361,0.372934908,0.483820975,0.483678311,0.106502116,0.106608808,0.610523045,0.610683978
911,all_gene,6,0.373437643,0.373767734,0.484636098,0.484642774,0.107772112,0.107711434,0.611095428,0.611365438
911,all_gene,7,0.377108932,0.377273798,0.48721385,0.487634927,0.107908905,0.10760957,0.614091933,0.614226162
911,all_gene,8,0.37473008,0.374036103,0.484988332,0.484661877,0.10678035,0.106957674,0.61215198,0.611584902
911,all_gene,9,0.373753279,0.373970509,0.484237254,0.484598249,0.106467366,0.106568038,0.611353636,0.611531258
