sample_number,data_mode,split_version,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
922,all_gene,0,0.161716864,0.161732182,0.323094159,0.323269814,0.040553808,0.040606797,0.402140349,0.402159393
922,all_gene,1,0.162253127,0.162573114,0.32498455,0.325346589,0.040903509,0.040924788,0.40280655,0.403203577
922,all_gene,2,0.161069632,0.160907879,0.322787493,0.322596997,0.040427327,0.040427566,0.401334822,0.401133239
922,all_gene,3,0.162200123,0.161864266,0.324549854,0.324241638,0.040812314,0.040676475,0.402740777,0.402323574
922,all_gene,4,0.162333667,0.16204384,0.324917644,0.32461831,0.040829718,0.040850937,0.402906537,0.402546704
922,all_gene,5,0.162884444,0.162728608,0.324184626,0.323907107,0.040912807,0.040906668,0.403589457,0.403396338
922,all_gene,6,0.161218941,0.161804691,0.32422787,0.324826628,0.04057163,0.040643334,0.401520789,0.402249545
922,all_gene,7,0.159030437,0.159585238,0.321884662,0.322348058,0.039934039,0.04004389,0.398786217,0.399481207
922,all_gene,8,0.161765814,0.162159055,0.322370172,0.322778493,0.040650249,0.040732682,0.402201205,0.402689785
922,all_gene,9,0.161291659,0.161297366,0.32219395,0.322277099,0.040568888,0.040519893,0.401611328,0.401618421
