sample_number,data_mode,split_version,k,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
911,all_gene,0,10,0.372297645,0.372167885,0.4905352,0.490388364,0.104196072,0.104328871,0.61016196,0.610055625
911,all_gene,1,10,0.371571243,0.372498721,0.490016133,0.490570128,0.104187369,0.104378164,0.60956645,0.610326707
911,all_gene,2,10,0.371676713,0.372153908,0.490160108,0.490520239,0.104356468,0.104352415,0.609652936,0.610044181
911,all_gene,3,10,0.371761203,0.37216711,0.490267187,0.49057132,0.104218125,0.10426563,0.609722257,0.610055029
911,all_gene,4,10,0.371645689,0.372552246,0.490179211,0.490689874,0.104180336,0.104285538,0.609627485,0.610370576
911,all_gene,5,10,0.371661156,0.371902376,0.490106612,0.490099341,0.104004562,0.104127288,0.609640181,0.609838009
911,all_gene,6,10,0.371364355,0.371804029,0.489957571,0.490222543,0.104171276,0.10415262,0.609396696,0.609757364
911,all_gene,7,10,0.371785641,0.372203618,0.490001917,0.490617424,0.104292512,0.104182005,0.609742284,0.610084951
911,all_gene,8,10,0.37236622,0.371949106,0.490558058,0.490540892,0.104166865,0.104246199,0.610218167,0.609876275
911,all_gene,9,10,0.372011513,0.372444332,0.490214288,0.490729213,0.104112804,0.104249775,0.609927475,0.610282183
911,all_gene,0,30,0.421491116,0.421468973,0.522219539,0.522120714,0.120424747,0.120680809,0.649223447,0.6492064
911,all_gene,1,30,0.420757264,0.421788722,0.521696448,0.522283673,0.120461166,0.120669365,0.648658037,0.649452627
911,all_gene,2,30,0.420990467,0.421459466,0.521848559,0.522298634,0.120702386,0.120670855,0.648837805,0.649199069
911,all_gene,3,30,0.420820415,0.42138806,0.521788239,0.522267103,0.120409727,0.120511115,0.648706734,0.649144113
911,all_gene,4,30,0.420889437,0.421744853,0.521824241,0.522243261,0.120469928,0.120534837,0.648759902,0.649418831
911,all_gene,5,30,0.420938313,0.421271384,0.521834195,0.521876037,0.120276928,0.120434225,0.648797572,0.649054229
911,all_gene,6,30,0.420719296,0.420855433,0.521801531,0.521793425,0.120499194,0.120330691,0.648628771,0.648733735
911,all_gene,7,30,0.421017796,0.421482652,0.521728814,0.522295892,0.120601535,0.120449185,0.648858845,0.64921695
911,all_gene,8,30,0.42166701,0.421054602,0.522351325,0.522187769,0.1204409,0.120479167,0.649358928,0.648887217
911,all_gene,9,30,0.421286523,0.421714276,0.521957457,0.522469997,0.120368004,0.120533764,0.649065912,0.649395287
911,all_gene,0,60,0.433494419,0.433406532,0.529664636,0.529506743,0.124363959,0.12461549,0.65840292,0.658336163
911,all_gene,1,60,0.432661563,0.433710337,0.529063165,0.529671013,0.124373674,0.124593198,0.657770157,0.658566892
911,all_gene,2,60,0.432846397,0.433307767,0.529228866,0.529648125,0.124613583,0.124561429,0.657910645,0.65826118
911,all_gene,3,60,0.43275848,0.433315545,0.529227078,0.52967006,0.124335587,0.124429762,0.657843828,0.658267081
911,all_gene,4,60,0.432763487,0.43364203,0.529167175,0.529618621,0.124366879,0.124442041,0.657847643,0.658515036
911,all_gene,5,60,0.432869971,0.433189631,0.529260755,0.52924335,0.124194801,0.124354839,0.657928526,0.658171415
911,all_gene,6,60,0.432529002,0.432781458,0.529135942,0.529165506,0.124374032,0.124254942,0.657669365,0.657861292
